Country,Male cancer cases ,Male cancer rate,Female cancer cases ,Female cancer rate,,,
Afghanistan,"11,239",103.6,"13,036",110.7,,,
Albania,"4,587",176.9,"3,432",147.7,,,
Algeria,"29,387",130.6,"35,326",152.2,,,
Argentina,"65,040",231.8,"68,380",208.7,,,
Armenia,"5,046",257.5,"4,474",163.9,,,
Australia,"116,363",514.3,"95,969",415.2,,,
Austria,"27,321",287.6,"23,361",235.7,,,
Azerbaijan,"9,901",181.2,"8,602",131.8,,,
Bahamas,477,214.4,478,177.6,,,
Bahrain,654,105.5,729,137.4,,,
Bangladesh,"94,922",120.8,"72,334",89.5,,,
Barbados,578,224.5,542,190.7,,,
Belarus,"24,933",360.5,"21,469",223.6,,,
Belgium,"43,645",350.8,"37,487",306.6,,,
Belize,188,110.1,221,118.2,,,
Benin,"3,468",108.2,"4,028",101.3,,,
Bhutan,356,90.5,282,84.5,,,
Bolivia,"7,692",129.6,"9,887",159.4,,,
Bosnia and Herzegovina,"7,841",251.7,"6,424",194.2,,,
Botswana,941,114.1,"1,376",119.4,,,
Brazil,"319,711",240.1,"307,482",197.6,,,
Brunei,396,171.7,529,216,,,
Bulgaria,"17,515",253.9,"15,297",203.2,,,
Burkina Faso,"5,556",112.5,"8,982",138.5,,,
Burundi,"3,370",123.5,"4,627",134.6,,,
Cambodia,"9,171",152.9,"10,624",130,,,
Cameroon,"7,986",113.3,"11,578",139.9,,,
Canada,"153,660",365.9,"138,438",441.8,,,
Cape Verde,214,108.6,221,78.3,,,
Central African Republic,"1,075",96.7,"1,615",110,,,
Chad,"5,605",147.4,"4,580",94.4,,,
Chile,"32,800",221.7,"27,076",165.1,,,
China,"2,533,906",209.6,"2,290,797",197,,,
Colombia,"56,224",183.3,"61,396",175.3,,,
Comoros,237,92.9,382,122,,,
Congo,"1,171",84.2,"1,556",82.3,,,
Costa Rica,"6,808",185.5,"6,517",173.5,,,
Cote d'Ivoire,"9,795",130,"11,557",143.7,,,
Croatia,"15,607",367.3,"13,202",277,,,
Cuba,"26,892",247.4,"22,796",199.1,,,
Cyprus,"3,070",289.9,"3,128",300.1,,,
