Country,DR2010,DR2011,DR2012,DR2013,DR2014,DR2015,DR2016,DR2017,DR2018,DR2019,DR2020,DR2021
Afghanistan,135.7,134.4,134,133,132.2,132.5,132.6,132.9,132.8,132.7,132.3,132
Albania,97,99,100.7,102.3,103.7,104.7,105.9,106.7,106.2,105.9,101.2,101.3
Algeria,54,53.9,53.5,53.3,52.9,52.6,52.1,51.9,52,51.9,51.7,51.5
Angola,105.9,106.1,106.3,106,104.1,104.1,104.1,105.1,105.8,107,107.9,107.9
Argentina,160.5,158.7,157.9,156.6,154.5,152.8,153.1,149.3,146.6,144.9,140.4,130.2
Armenia,150.4,148.4,142.7,137.3,138.8,143.1,140.2,129.9,130.3,132.2,131.4,128.8
Australia,130,129.8,127.4,125.6,124.4,123.5,121.4,118.9,117.2,118.8,111.7,114.6
Austria,132.1,132.4,131.2,129.3,128.5,125.2,124.5,122.8,123.8,121.3,118.5,112.4
Azerbaijan,114.7,113.7,113.1,111.5,110.6,108.7,108.3,108.3,103.5,101.7,97.7,95.1
Bahamas,158,160.2,161.1,159.1,161.6,159.2,160.8,157.9,156.6,155.4,152.9,151.7
Bangladesh,68.9,64.9,61.5,60.5,60.4,59.9,60.3,61.9,62,61.8,61.9,61.8
Belarus,140.1,141.9,127.7,127.9,125.2,119.2,120.8,122,124.8,126.8,126.7,126.4
Belgium,149.9,152.2,152.6,151.5,148.3,145.3,143.1,139.8,136.8,133.4,124.1,126.5
Belize,108.8,107.1,106.3,105.4,105,105.1,103.7,104.4,105.5,104.1,97.7,97.8
Benin,90.5,91.5,92.1,91.6,90.8,90.2,89.1,88.3,86.3,85.9,86.8,86.4
Bhutan,66.3,66.4,66.3,66.5,66.5,66.8,67,67.3,67.4,67.5,67.6,67.3
Bolivia,162.7,162.7,162.2,161.4,160.6,160.1,159.8,159.7,159.2,158.5,157.5,155.9
Bosnia and Herzegovina,149,148.6,146.8,148.3,149.2,151.7,151.1,149.6,149.2,152.5,151.5,142.5
Botswana,144.9,146.3,143.3,143,141.4,138.9,132.6,127.4,124.5,123.1,123.4,121.7
Brazil,119.8,119.3,118.2,116.9,116.1,115.9,116.5,114.1,113.2,113.3,113.2,110.8
Brunei,147.3,146.9,148,153.6,156.5,158,162.4,160,152.9,149.1,138.8,136.1
Bulgaria,155.6,153.7,156.3,162.7,168.6,168.2,167.4,166.8,167.3,165.1,164.8,163.4
Burkina Faso,100,102.1,103.5,105,105.1,105.5,106.6,105.5,103.5,102.3,101.1,101
Burundi,104.8,104.6,104,103.5,103.2,102.3,101.7,101.8,101.6,102.1,101.7,101.9
Cambodia,116.5,117,117.3,117.5,118.1,118.6,119,119.4,119.7,120,120.3,120.2
Cameroon,106.3,106.7,107,107.3,107.2,106.4,105.8,105.2,104.4,103.6,103.1,102.6
Canada,138.9,137.1,136,134.1,134.1,128.3,129.8,129,127.4,125.1,116.9,116.4
Central African Republic,125.1,125.3,124.3,124.6,123,121.6,121.1,120.7,120,119.2,117.9,116.9
Chad,95.2,95.6,95.8,95.5,95,95.2,95.5,95.9,95.9,95.2,95.7,95.9
Chile,138.3,137.6,136,134.3,132,130.4,127.3,125,123.5,122.4,113.9,113.2
China,156.4,153.9,150.5,147,143.7,142.1,141.5,139.7,138.8,138.5,138.2,137.2
Colombia,100.3,95.6,94.8,93.6,92,91.9,92.5,91.5,93.1,92,94.5,94.3
Congo,128.7,127.7,128.1,129,130,129.5,128.3,128,127.8,127.8,127.9,126.9
Costa Rica,117.9,114.4,113.7,114.1,112.1,113.8,116.6,115.2,117.7,114,109.9,112.6
Cote d'Ivoire,77.2,76.7,77.8,79.5,79.5,79,78.2,77.8,76.8,75.3,75.2,74.9
Croatia,161.9,169.3,171.6,168.1,170.4,172.7,165.3,164.2,162.4,157.9,154.2,154.5
Cuba,145.1,139.6,143.1,142.7,143.2,145.5,144.2,144.9,144.6,146.3,143.6,141.8
Cyprus,134.2,134.9,133.8,132.4,129.9,127.4,123.1,123.6,121.4,120.1,111,108.4
Czechia,163.1,160.1,156.6,152.9,149.8,147.8,147.3,144.8,144.1,143.3,140.5,139.7
Democratic Republic of  the Congo,88.7,89.7,90.5,91.2,92.1,92.5,92.6,92.5,92.6,92.7,93.6,93.7
Denmark,169.6,165.9,162.6,158.9,157,156.4,157.1,153.7,153.2,149.6,145.4,143.6
Djibouti,127.4,127.4,126.9,126.5,125.2,125.5,125.6,126.3,125.4,125.9,125.7,126
Dominica,161.9,163.5,164.5,165.2,165.6,166.2,166.3,166.3,166.1,165.6,165.5,164.8
Dominican Republic,97.5,96,97.8,100.4,98.7,97.8,97.5,97.8,97.2,94.5,98.5,95.1
East Timor,70.9,74,75.8,77.2,78.4,77.7,77.8,78.2,78.7,79.4,78.6,78.5
Ecuador,126.6,122.7,122.2,118.3,116.2,113,111,110.2,112.2,112.2,105.7,105.2
Egypt,107.1,107.6,109.3,107.4,109.5,112.2,109.7,105.6,105,103.5,103.3,103.1
El Salvador,91.6,92.3,88.4,90.8,94.1,99.4,96.5,96.4,93.8,95.6,96.3,94.8
Equatorial Guinea,106.8,108.9,108.4,106.7,106,109,112.5,113.3,114.2,115.8,116.2,115.5
Eritrea,141.5,140.5,139.7,139.3,138.7,138.1,137.6,137.3,137.5,137.3,137.4,137.1
Estonia,144.8,149.7,148.3,142.6,145.1,142.6,146.5,139.6,141.5,138.5,138.3,136.2
Eswatini,233.7,227.6,223.8,220.3,215.7,211.3,207.8,204.7,201.7,198.1,193.4,185.5
Ethiopia,101.3,99.7,97.8,97.3,97,97.6,97.8,98.4,98.9,99.6,100.6,101.2
Fiji,103.1,105,105.5,105.9,106.5,107.1,107.7,108.3,108.3,107.8,107.7,107
Finland,116.3,114.2,113.8,113.6,112.4,113.7,114.1,113.6,112.1,110,107.7,106.4
France,152.3,150.3,148.1,146.6,145.1,145.2,143.9,142.6,139.2,136.8,134.2,129.3
Gabon,133.9,133,132,131.2,131.7,132.8,132.7,133.1,133.4,133.9,134,132.4
Gambia,73.2,67.8,67.7,69.4,73.6,71.7,75.2,78.8,78.6,80.3,79.6,80
Georgia,123.9,137.3,142.2,142.4,143.9,153.4,164.5,155.3,151.5,151.7,152.7,148.2
Germany,138.4,136.4,134.4,133.3,131.5,133.5,133.2,133.9,134.6,132.7,129.7,127.2
Ghana,89,89.6,89.8,90.5,90.8,91.1,91.5,92.1,92.3,92,91.7,91.1
Greece,138.2,137.6,139.1,140.1,142.7,141.9,142.3,140.7,139.9,139.7,140.9,140.2
Greenland,240.1,234.1,223.8,220.8,216.8,213.3,209.7,208.1,206.4,205.9,211.4,193.4
Guatemala,119.3,114.4,110.4,110.2,107.6,106.6,105.2,102.1,102.2,102.2,93.9,93.4
Guinea,106.8,106.8,106.7,106.7,106.9,106.4,105.7,104.1,102.5,100.4,99.6,98.9
Guinea-Bissau,130,129.6,128.8,129.3,129.6,129.3,129.9,130.2,130.1,128.5,127.6,126.5
Guyana,119.3,120.5,119.8,117.6,118.5,118.3,118,118.1,118.4,117.3,116.4,114.5
Haiti,156.7,158,157.2,156.4,156.1,155.8,154.9,153.9,153.6,153.3,152.1,150.4
Honduras,110.9,115.6,121.2,120.5,120.2,119.9,119.6,119.3,118.1,117.3,116.8,115.8
Hungary,196.2,195,192.1,186,184.8,184.7,180.8,179.7,177.6,171.3,169.1,165.3
Iceland,136.6,134.9,133.2,131.3,129.9,130.5,133,128.5,124.5,122.5,117.9,118.2
