Country ,Number of cancer cases,Prevalence of cancer
Afghanistan,24275,106.2
Albania,8019,160.8
Algeria,64713,141.2
Angola,24607,133.5
Argentina,133420,215.8
Armenia,9520,201.6
Australia,212332,462.5
Austria,50682,258.5
Azerbaijan,18503,152.3
Bahamas,955,192.7
Bahrain,1383,113.8
Bangladesh,167256,105.6
Barbados,1120,205.3
Belarus,46402,273.2
Belgium,81132,324.7
Belize,409,114.7
Benin,7496,102.6
Bhutan,638,87.6
Bolivia,17579,143.8
Bosnia and Herzegovina,14265,218.6
Botswana,2317,115.4
Brazil,627193,214.4
Brunei,925,192.2
Bulgaria,32812,222
Burkina Faso,14538,125.2
Burundi,7997,128.2
Cambodia,19795,138.3
Cameroon,19564,126
Canada,292098,345.9
Cape Verde,435,87
Central African Republic,2690,101.8
Chad,10185,118.1
Chile,59876,188.7
China,4824703,201.6
Colombia,117620,177.6
Comoros,619,106.8
Congo,2727,80.7
Costa Rica,13325,177.7
Cote d'Ivoire,21352,137
Croatia,28809,313.4
Cuba,49688,220.8
Cyprus,6198,292.3
Czech Republic,65676,280.9
Denmark,48840,374.7
Djibouti,805,90.7
Dominican Republic,20171,167
DR Congo,52612,103
East Timor,828,84.5
Ecuador,30888,152.7
Egypt,150578,166.1
El Salvador,9799,127.1
Equatorial Guinea,926,107.7
Eritrea,2463,99.8
Estonia,8050,282.5
Eswatini,1108,135.3
Ethiopia,80334,104.5
Fiji,1601,174.8
Finland,37660,276.9
France,483568,339
French Guiana,589,204.3
French Polynesia,877,228.1
Gabon,1875,114.4
Gambia,1196,79.2
Georgia,13689,197.5
Germany,605805,274.2
Ghana,27385,120.4
Greece,65703,258.7
Guadeloupe,2123,253.9
Guam,412,167.2
Guatemala,17801,121.8
Guinea,8777,116.3
Guinea-Bissau,1170,100.3
Guyana,1225,142.5
Haiti,13860,141.1
Honduras,10815,128
Hungary,66340,336.7
Iceland,1777,268.3
India,1413316,98.5
Indonesia,408661,136.9
Iran,137198,149
Iraq,37382,136.6
Ireland,31242,344.7
Israel,30438,245.8
Italy,436242,284.5
Jamaica,7500,199.6
Japan,1005157,267.1
Jordan,12328,152.6
Kazakhstan,36225,162.3
Kenya,44726,149.1
Kuwait,4347,111.4
Kyrgyzstan,7266,125.8
Laos,9101,154.5
Latvia,11458,288.9
Lebanon,13034,168.8
Lesotho,2027,115.5
Liberia,3873,115.2
Libya,8171,132.3
Lithuania,16413,287.9
Luxembourg,3440,273.3
Madagascar,21297,117.4
Malawi,19846,159.5
Malaysia,51650,142.1
Maldives,479,105.3
Mali,15151,139.9
Malta,2855,282.5
Martinique,2057,224.2
Mauritania,3274,105.3
Mauritius,2888,140
Mexico,207154,140.9
Moldova,14816,232.2
Mongolia,6699,235.8
Montenegro,2739,238
Morocco,63609,149.8
Mozambique,26578,128.8
Myanmar,77603,135.5
Namibia,3453,193.5
Nepal,22008,81.6
Netherlands,132319,341.4
New Caledonia,1149,287.6
New Zealand,38157,427.3
Nicaragua,8409,133.5
Niger,11593,83.7
Nigeria,127763,113.6
North Korea,61533,166.1
North Macedonia,7563,206.9
Norway,40305,357.9
Oman,4045,105.3
Pakistan,185748,105.6
Palestine,5030,152.3
Panama,8353,154.9
Papua New Guinea,12190,188.7
Paraguay,13783,192.2
Peru,72827,173.8
Philippines,188976,185.4
Poland,208900,262.8
Portugal,69567,294.6
Puerto Rico,13778,226.6
Qatar,1733,82.4
Reunion,3015,203.1
Romania,104661,276.5
Russia,635560,248.1
Rwanda,7122,83.2
Saint Lucia,448,166.8
Samoa,400,240
Sao Tome and Principe,144,104.9
Saudi Arabia,28113,87.1
Senegal,11841,113.9
Serbia,42039,250.4
Sierra Leone,1918,35.9
Singapore,25250,231.1
Slovakia,30913,283.3
Slovenia,14402,305.1
Solomon Islands,684,134.8
Somalia,10681,121
South Africa,111321,203.4
South Korea,237701,234.7
South Sudan,6874,99.4
Spain,278729,274.6
Sri Lanka,33243,106.9
Sudan,28586,95.6
Suriname,1119,169.5
Sweden,69261,310
Switzerland,58330,292.7
Syria,21926,138.6
Tajikistan,6467,91.7
Tanzania,44931,140.1
Thailand,183541,154.4
Togo,5491,107.5
Trinidad and Tobago,3931,186.7
Tunisia,20551,135.4
Turkey,240013,225.9
Turkmenistan,6807,122.7
Uganda,35968,154.4
Ukraine,155239,199.9
United Arab Emirates,5526,105.1
United Kingdom,454954,307.8
United States,2380189,367
Uruguay,16817,279.9
Uzbekistan,35900,112.7
Vanuatu,250,108.2
Venezuela,62947,184.8
Vietnam,180480,150.8
Yemen,16525,83.1
Zambia,15296,159.5
Zimbabwe,17725,208
